subject,hemisphere,boundary,anat_centroid,anat_meanmin,wang_centroid,wang_meanmin
REPchild-00001,lh,V3ab_IPS0,5.734225502384661,1.1890792464266482,6.29680515830309,2.3449072733917324
REPchild-00001,lh,IPS0_IPS1,5.412986054075997,2.4193900376191344,1.605684858759188,0.8818031028434019
REPchild-00001,lh,IPS1_IPS2,5.99157333260373,4.028720098491504,7.826343440947284,2.9691243672252803
REPchild-00001,lh,IPS2_IPS3,11.637346602450855,9.15240562405581,2.5016611938078532,1.370849521606355
REPchild-00001,rh,V3ab_IPS0,1.764776249262184,0.8489273703863663,3.7849562230291878,1.4556047477708005
REPchild-00001,rh,IPS0_IPS1,2.1068739219448247,0.6714082660970153,2.9827049984940834,1.0734166298990886
REPchild-00001,rh,IPS1_IPS2,2.658878010697158,1.0002033639343442,3.457777796497764,1.6671519154243297
REPchild-00001,rh,IPS2_IPS3,1.7231349391656956,0.9817824748292505,4.6380523591832725,2.2060218273841246
REPchild-0002,lh,V3ab_IPS0,7.977680644027397,4.904082102934083,0.9371265271308304,2.1304897115064128
REPchild-0002,lh,IPS0_IPS1,7.321063165249177,4.8462994304313405,4.626692948039697,2.3325559103277618
REPchild-0002,lh,IPS1_IPS2,4.230484988276842,2.7967082943602315,13.129603660325593,9.01198055537888
REPchild-0002,lh,IPS2_IPS3,11.708061227764698,5.130845288618266,15.492596841484694,9.708043385063519
REPchild-0002,rh,V3ab_IPS0,5.0710243901614716,2.7535422172063604,23.56022331639306,17.399428733388973
REPchild-0002,rh,IPS0_IPS1,7.438329565057298,5.649052794190657,24.143142854122168,16.138346389295172
REPchild-0002,rh,IPS1_IPS2,4.3847225459625445,1.890258254285345,29.430477089212687,24.329253164023662
REPchild-0002,rh,IPS2_IPS3,6.50979567054022,2.1716475398001753,34.18370233504714,25.500047537413618
REPchild-0003,lh,V3ab_IPS0,6.502819146724757,2.0272212394473175,7.031399272748236,2.4981662087377883
REPchild-0003,lh,IPS0_IPS1,6.987921695455391,4.900738166966278,5.122776710482478,3.5181227822279535
REPchild-0003,lh,IPS1_IPS2,5.087110401482839,2.8410373714770305,3.291610468443417,2.581758079185239
REPchild-0003,lh,IPS2_IPS3,9.890876408015286,6.603502260011783,5.932390925539687,2.9764023474367898
REPchild-0003,rh,V3ab_IPS0,6.196324828874378,3.340418618978486,4.746081700457921,3.5313980621396523
REPchild-0003,rh,IPS0_IPS1,3.59006972244641,0.7510606754120066,1.5256662833756254,2.4866653546974273
REPchild-0003,rh,IPS1_IPS2,3.9379387559230348,2.455343978142601,7.008685573262727,3.05563994319353
REPchild-0003,rh,IPS2_IPS3,3.812472112703775,2.3423965045914117,7.603088635444382,3.4579955291919475
REPchild-0004,lh,V3ab_IPS0,8.93982065307341,6.4427931751508964,11.919146699759299,8.884084414446953
REPchild-0004,lh,IPS0_IPS1,7.012801438872691,5.51063739669816,5.063214862490387,4.067082088027444
REPchild-0004,lh,IPS1_IPS2,8.530931504230066,6.658730749883059,11.726615536940026,4.6623228259085945
REPchild-0004,lh,IPS2_IPS3,4.548804211844314,1.8361467584009725,13.959030228354036,6.865965191859405
