subject,hemisphere,boundary,anat_centroid,anat_meanmin,wang_centroid,wang_meanmin
REPadult-0008,rh,IPS1_IPS2,6.384082242,3.175197499,7.147378422,5.325203178
REPadult-0008,rh,IPS2_IPS3,11.04297909,9.784403002,10.45844579,8.693160458
REPadult-0009,lh,V3ab_IPS0,6.208121007,3.528586386,6.652128349,3.863021845
REPadult-0009,lh,IPS0_IPS1,7.248474679,4.196354841,8.3788505,5.428318461
REPadult-0009,lh,IPS1_IPS2,14.36201832,10.86387027,11.98256462,9.086017903
REPadult-0009,lh,IPS2_IPS3,11.78265277,11.53181906,10.98043772,7.010308427
REPadult-0009,rh,V3ab_IPS0,5.51161896,2.054031526,2.849174654,2.963369589
REPadult-0009,rh,IPS0_IPS1,4.269431603,1.849673417,4.197312432,2.978471628
REPadult-0009,rh,IPS1_IPS2,10.26845203,8.553534598,11.28566189,7.802531077
REPadult-0009,rh,IPS2_IPS3,10.51396495,9.463953092,11.60883216,9.615945747
REPadult-010,lh,V3ab_IPS0,3.733790489,1.423053052,5.38248197,2.539604126
REPadult-010,lh,IPS0_IPS1,3.394071867,1.724475183,5.609670404,2.848031741
REPadult-010,lh,IPS1_IPS2,9.109480039,6.619452205,12.85155351,9.234181026
REPadult-010,lh,IPS2_IPS3,10.32556472,7.819217182,11.40824107,6.964920365
REPadult-010,rh,V3ab_IPS0,2.465492644,1.315729521,3.570803427,2.780259422
REPadult-010,rh,IPS0_IPS1,7.524717141,4.583902618,8.278881192,5.28797625
REPadult-010,rh,IPS1_IPS2,8.994927839,8.287221861,9.778983258,7.744615493
REPadult-010,rh,IPS2_IPS3,6.516044938,6.912860878,8.025415914,6.794523785
REPadult-0011,lh,V3ab_IPS0,4.62389424,2.448347373,5.309304615,2.864262144
REPadult-0011,lh,IPS0_IPS1,6.605416942,3.952586839,3.660069777,1.836488694
REPadult-0011,lh,IPS1_IPS2,7.617984539,5.405012071,6.842105247,1.88232043
REPadult-0011,lh,IPS2_IPS3,4.96896671,4.136697525,5.23401675,2.134282022
REPadult-0011,rh,V3ab_IPS0,0.968981898,0.798876766,5.273047375,4.44435288
REPadult-0011,rh,IPS0_IPS1,8.317974025,5.900375071,4.058880092,1.56139427
REPadult-0011,rh,IPS1_IPS2,2.571305686,1.288807662,4.462715284,2.825133829
REPadult-0011,rh,IPS2_IPS3,7.731458693,5.330445665,6.471147987,2.815389802
REPadult-0012,lh,V3ab_IPS0,6.620068234,4.185663605,1.585748758,3.448616921
REPadult-0012,lh,IPS0_IPS1,11.05656801,8.479720311,6.494335447,4.411984252
REPadult-0012,lh,IPS1_IPS2,6.716754056,5.442567099,8.252280617,5.32410675
REPadult-0012,lh,IPS2_IPS3,7.143616516,2.02546714,2.985268922,1.354783922
REPadult-0012,rh,V3ab_IPS0,7.652585301,7.540840868,5.601118296,3.281414123
REPadult-0012,rh,IPS0_IPS1,7.249126243,5.859338886,2.091435591,1.051704536
REPadult-0012,rh,IPS1_IPS2,0.543343793,0.336074182,3.553831676,1.504550184
REPadult-0012,rh,IPS2_IPS3,4.314437774,1.822369329,2.377357258,1.02787554
REPadult-0013,lh,V3ab_IPS0,5.119757462,3.484327616,4.995371519,3.411219286
REPadult-0013,lh,IPS0_IPS1,8.284854751,3.843336158,7.221902815,2.669217611
REPadult-0013,lh,IPS1_IPS2,15.10571416,10.44220371,4.092065457,1.704880321
REPadult-0013,lh,IPS2_IPS3,11.99418225,9.31307901,2.642736743,3.026512761
REPadult-0013,rh,V3ab_IPS0,3.381042152,1.906191506,6.18150309,1.883228507
REPadult-0013,rh,IPS0_IPS1,7.752517648,1.918409103,7.446069882,4.43550755
REPadult-0013,rh,IPS1_IPS2,15.767148,7.486338846,7.478444751,4.451556744
REPadult-0013,rh,IPS2_IPS3,20.26560335,11.57764702,10.25886889,7.101941403
REPadult-0014,lh,V3ab_IPS0,5.685050104,2.573047921,6.904837967,3.203687402
REPadult-0014,lh,IPS0_IPS1,4.929302917,2.520566165,1.857083396,0.913015602
REPadult-0014,lh,IPS1_IPS2,5.035434469,2.286283811,7.632869306,3.558291507
REPadult-0014,lh,IPS2_IPS3,1.270557699,0.666376814,7.375802011,3.283833316
REPadult-0014,rh,V3ab_IPS0,3.474989977,0.777437518,3.534800036,1.422068723
REPadult-0014,rh,IPS0_IPS1,4.122922027,2.360978061,8.274882858,5.136888132
REPadult-0014,rh,IPS1_IPS2,8.267736854,5.156632575,12.04765189,8.644087808
REPadult-0014,rh,IPS2_IPS3,1.652120419,0.457516648,5.713478765,1.788802078
REPadult-0015,lh,V3ab_IPS0,2.762980907,2.065156164,2.390453245,1.066899557
REPadult-0015,lh,IPS0_IPS1,7.022443197,3.525739591,5.71062385,2.781026633
REPadult-0015,lh,IPS1_IPS2,5.069706463,3.630066473,10.18220268,6.605559776
REPadult-0015,lh,IPS2_IPS3,7.290185402,2.013829012,3.410767841,1.448015645
REPadult-0015,rh,V3ab_IPS0,9.780338659,6.107541544,5.952504212,3.1735228
REPadult-0015,rh,IPS0_IPS1,8.257588084,6.0608645,6.790268659,4.241823303
REPadult-0015,rh,IPS1_IPS2,4.342046253,2.583996267,6.205760968,2.187320731
REPadult-0015,rh,IPS2_IPS3,2.921055503,0.899788824,6.214624081,1.469991329
REPadult-016,lh,V3ab_IPS0,4.294717823,2.480250154,6.408461114,3.53995262
REPadult-016,lh,IPS0_IPS1,2.865061511,1.025368024,1.735320077,0.957264491
REPadult-016,lh,IPS1_IPS2,0.8081941,0.952248615,3.87072617,1.623420394
REPadult-016,lh,IPS2_IPS3,3.813885109,2.997397226,4.047442674,3.152603908
REPadult-016,rh,V3ab_IPS0,5.341164208,4.791737561,3.177829934,3.085971348
REPadult-016,rh,IPS0_IPS1,5.825554972,3.837863527,4.151739368,3.72814352
REPadult-016,rh,IPS1_IPS2,10.86728019,7.528158388,10.34719171,7.63866868
REPadult-016,rh,IPS2_IPS3,9.817139056,5.852999743,7.705788059,4.230161823
REPadult-0017,lh,V3ab_IPS0,3.737765182,0.90406865,5.023486167,1.66483264
REPadult-0017,lh,IPS0_IPS1,2.038560239,1.719688181,2.769717787,1.951813461
REPadult-0017,lh,IPS1_IPS2,1.881393299,0.824025567,4.00789605,1.17385431
REPadult-0017,lh,IPS2_IPS3,11.27013307,5.766534428,7.466801235,3.762471596
REPadult-0017,rh,V3ab_IPS0,3.058678959,0.988143084,3.145953616,1.735051387
REPadult-0017,rh,IPS0_IPS1,0.961047006,0.870235302,2.4907115,1.562550563
REPadult-0017,rh,IPS1_IPS2,2.380419221,0.796898147,5.872102013,2.959566801
REPadult-0017,rh,IPS2_IPS3,14.1404713,9.428212884,14.02225084,7.635190805
REPadult-0018,lh,V3ab_IPS0,13.29500248,6.301200451,2.665313902,1.128149969
REPadult-0018,lh,IPS0_IPS1,4.344744731,1.253711032,6.880717159,3.378453462
REPadult-0018,lh,IPS1_IPS2,4.786037965,1.96417509,7.662000897,5.72299819
REPadult-0018,lh,IPS2_IPS3,8.872797684,4.635092467,14.17136285,9.356059673
REPadult-0018,rh,V3ab_IPS0,5.520304912,2.046582788,3.549964833,1.6277371
REPadult-0018,rh,IPS0_IPS1,2.849833905,2.521076992,3.732837761,1.461310782
REPadult-0018,rh,IPS1_IPS2,5.532342876,5.165207613,7.715200827,4.299354355
REPadult-0018,rh,IPS2_IPS3,7.742988034,5.978525477,9.237688421,4.901859273
REPadult-0019,lh,V3ab_IPS0,6.417423739,2.262994102,2.787036166,2.037911238
REPadult-0019,lh,IPS0_IPS1,4.034960535,0.98127212,2.200381235,1.639756722
REPadult-0019,lh,IPS1_IPS2,8.721893714,2.19635293,2.501551854,1.006137513
REPadult-0019,lh,IPS2_IPS3,4.698131936,4.270739352,6.131451984,4.166078864
REPadult-0019,rh,V3ab_IPS0,2.315010278,0.478414851,1.901972352,1.576640703
REPadult-0019,rh,IPS0_IPS1,3.778375552,1.128929262,5.198589726,3.235546705
REPadult-0019,rh,IPS1_IPS2,5.289287758,1.826483692,5.509354805,3.971499406
REPadult-0019,rh,IPS2_IPS3,3.934592454,1.393733968,5.326618232,3.510929594
REPadult-020,lh,V3ab_IPS0,9.324371072,4.23143352,5.851338085,3.780492461
REPadult-020,lh,IPS0_IPS1,1.791439522,1.065021918,2.350934364,1.078816939
REPadult-020,lh,IPS1_IPS2,4.634799931,2.012984187,6.208501058,2.170457717
REPadult-020,lh,IPS2_IPS3,5.034759822,3.264104067,1.763820187,1.680963261
REPadult-020,rh,V3ab_IPS0,8.95606439,4.409223124,4.329497047,2.036959842
REPadult-020,rh,IPS0_IPS1,7.976311215,7.844416895,8.345565193,5.721873554
REPadult-020,rh,IPS1_IPS2,4.575365244,3.960081718,8.254462672,6.416592777
REPadult-020,rh,IPS2_IPS3,12.2329255,9.465325604,3.389535069,1.76019243
REPadult-021,lh,V3ab_IPS0,5.26874641,3.232174028,5.365428332,3.436500375
REPadult-021,lh,IPS0_IPS1,7.164889072,4.444284565,6.351341545,3.959233515
REPadult-021,lh,IPS1_IPS2,11.24635929,7.924403683,7.762737713,5.778830038
REPadult-021,lh,IPS2_IPS3,5.963486975,5.280352325,2.766878339,1.482415154
REPadult-021,rh,V3ab_IPS0,6.152224174,2.35612985,4.132078607,1.799371939
REPadult-021,rh,IPS0_IPS1,4.249608799,2.53062242,3.950520319,2.218810741
REPadult-021,rh,IPS1_IPS2,4.942378819,3.508180634,4.52407185,1.624064807
REPadult-021,rh,IPS2_IPS3,4.413879948,2.178480822,4.643192029,2.681679487
